%time,field.seq,field.stamp,field.frame_id
1481431642026570081,25855,1468242488481000000,/camera
1481431642057378053,25856,1468242488514000000,/camera
1481431642102535009,25857,1468242488547000000,/camera
1481431642129070997,25858,1468242488581000000,/camera
1481431642156425952,25859,1468242488614000000,/camera
1481431642188000917,25860,1468242488647000000,/camera
1481431642221451997,25861,1468242488681000000,/camera
1481431642260413885,25862,1468242488714000000,/camera
1481431642295291900,25863,1468242488747000000,/camera
1481431642324137926,25864,1468242488781000000,/camera
1481431642354871034,25865,1468242488814000000,/camera
1481431642389439105,25866,1468242488847000000,/camera
1481431642430005073,25867,1468242488880000000,/camera
1481431642460724115,25868,1468242488914000000,/camera
1481431642493343114,25869,1468242488947000000,/camera
1481431642524214029,25870,1468242488980000000,/camera
1481431642557521104,25871,1468242489014000000,/camera
1481431642587224006,25872,1468242489047000000,/camera
1481431642625364065,25873,1468242489080000000,/camera
1481431642654176950,25874,1468242489114000000,/camera
1481431642686553955,25875,1468242489147000000,/camera
1481431642719573974,25876,1468242489180000000,/camera
1481431642758838891,25877,1468242489214000000,/camera
1481431642788767099,25878,1468242489247000000,/camera
1481431642821369886,25879,1468242489280000000,/camera
1481431642854100942,25880,1468242489314000000,/camera
1481431642886742115,25881,1468242489347000000,/camera
1481431642924709081,25882,1468242489380000000,/camera
1481431642956633090,25883,1468242489414000000,/camera
1481431642988542079,25884,1468242489447000000,/camera
1481431643025701045,25885,1468242489480000000,/camera
1481431643054455041,25886,1468242489514000000,/camera
1481431643091645002,25887,1468242489547000000,/camera
1481431643122225046,25888,1468242489580000000,/camera
1481431643156013011,25889,1468242489613000000,/camera
1481431643188328027,25890,1468242489647000000,/camera
1481431643223771095,25891,1468242489680000000,/camera
1481431643259128093,25892,1468242489713000000,/camera
1481431643293236970,25893,1468242489747000000,/camera
1481431643323204040,25894,1468242489780000000,/camera
1481431643354734897,25895,1468242489813000000,/camera
1481431643390079021,25896,1468242489847000000,/camera
1481431643422028064,25897,1468242489880000000,/camera
1481431643454641103,25898,1468242489913000000,/camera
1481431643493021011,25899,1468242489947000000,/camera
1481431643522790908,25900,1468242489980000000,/camera
1481431643555583953,25901,1468242490013000000,/camera
1481431643588139057,25902,1468242490047000000,/camera
1481431643620755910,25903,1468242490080000000,/camera
1481431643654067993,25904,1468242490113000000,/camera
1481431643687895059,25905,1468242490147000000,/camera
1481431643720470905,25906,1468242490180000000,/camera
1481431643759351968,25907,1468242490213000000,/camera
1481431643794276952,25908,1468242490247000000,/camera
1481431643821448087,25909,1468242490280000000,/camera
1481431643854536056,25910,1468242490313000000,/camera
1481431643889229059,25911,1468242490346000000,/camera
1481431643923532009,25912,1468242490380000000,/camera
1481431643956069946,25913,1468242490413000000,/camera
1481431643992357969,25914,1468242490446000000,/camera
1481431644022392034,25915,1468242490480000000,/camera
1481431644054919004,25916,1468242490513000000,/camera
1481431644094923019,25917,1468242490546000000,/camera
1481431644123028039,25918,1468242490580000000,/camera
1481431644154427051,25919,1468242490613000000,/camera
1481431644188858985,25920,1468242490646000000,/camera
1481431644219500064,25921,1468242490680000000,/camera
1481431644257580041,25922,1468242490713000000,/camera
